year,sex,level_of_school,length_of_service,no_of_teachers
1994,MF,PRE-UNIVERSITY,10 - 14 YEARS,262
1994,F,PRE-UNIVERSITY,10 - 14 YEARS,186
1994,MF,PRIMARY,15 - 19 YEARS,807
1994,F,PRIMARY,15 - 19 YEARS,723
1994,MF,SECONDARY,15 - 19 YEARS,1149
1994,F,SECONDARY,15 - 19 YEARS,894
1994,MF,PRE-UNIVERSITY,15 - 19 YEARS,270
1994,F,PRE-UNIVERSITY,15 - 19 YEARS,193
1994,MF,PRIMARY,20 - 24 YEARS,831
1994,F,PRIMARY,20 - 24 YEARS,734
1994,MF,SECONDARY,20 - 24 YEARS,706
1994,F,SECONDARY,20 - 24 YEARS,453
1994,MF,PRE-UNIVERSITY,20 - 24 YEARS,101
1994,F,PRE-UNIVERSITY,20 - 24 YEARS,62
1994,MF,PRIMARY,25 - 29 YEARS,1979
1994,F,PRIMARY,25 - 29 YEARS,1459
1994,MF,SECONDARY,25 - 29 YEARS,1472
1994,F,SECONDARY,25 - 29 YEARS,731
1994,MF,PRE-UNIVERSITY,25 - 29 YEARS,115
1994,F,PRE-UNIVERSITY,25 - 29 YEARS,45
1994,MF,PRIMARY,30 YEARS & ABOVE,3625
1994,F,PRIMARY,30 YEARS & ABOVE,2187
1994,MF,SECONDARY,30 YEARS & ABOVE,1237
1994,F,SECONDARY,30 YEARS & ABOVE,428
1994,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,66
1994,F,PRE-UNIVERSITY,30 YEARS & ABOVE,17
1995,MF,PRIMARY,0 - 4 YEARS,2292
1995,F,PRIMARY,0 - 4 YEARS,2015
1995,MF,SECONDARY,0 - 4 YEARS,1882
1995,F,SECONDARY,0 - 4 YEARS,1218
1995,MF,PRE-UNIVERSITY,0 - 4 YEARS,417
1995,F,PRE-UNIVERSITY,0 - 4 YEARS,244
1995,MF,PRIMARY,5 - 9 YEARS,746
1995,F,PRIMARY,5 - 9 YEARS,686
1995,MF,SECONDARY,5 - 9 YEARS,894
1995,F,SECONDARY,5 - 9 YEARS,733
1995,MF,PRE-UNIVERSITY,5 - 9 YEARS,352
1995,F,PRE-UNIVERSITY,5 - 9 YEARS,224
1995,MF,PRIMARY,10 - 14 YEARS,441
1995,F,PRIMARY,10 - 14 YEARS,378
1995,MF,SECONDARY,10 - 14 YEARS,955
1995,F,SECONDARY,10 - 14 YEARS,749
1995,MF,PRE-UNIVERSITY,10 - 14 YEARS,280
1995,F,PRE-UNIVERSITY,10 - 14 YEARS,193
1995,MF,PRIMARY,15 - 19 YEARS,751
1995,F,PRIMARY,15 - 19 YEARS,693
1995,MF,SECONDARY,15 - 19 YEARS,1059
1995,F,SECONDARY,15 - 19 YEARS,822
1995,MF,PRE-UNIVERSITY,15 - 19 YEARS,270
1995,F,PRE-UNIVERSITY,15 - 19 YEARS,187
1995,MF,PRIMARY,20 - 24 YEARS,774
1995,F,PRIMARY,20 - 24 YEARS,666
1995,MF,SECONDARY,20 - 24 YEARS,693
1995,F,SECONDARY,20 - 24 YEARS,453
1995,MF,PRE-UNIVERSITY,20 - 24 YEARS,102
1995,F,PRE-UNIVERSITY,20 - 24 YEARS,67
1995,MF,PRIMARY,25 - 29 YEARS,1268
1995,F,PRIMARY,25 - 29 YEARS,942
1995,MF,SECONDARY,25 - 29 YEARS,1089
1995,F,SECONDARY,25 - 29 YEARS,568
1995,MF,PRE-UNIVERSITY,25 - 29 YEARS,95
